,equity
2009-01-14,119865.91923915152
2009-01-15,121915.86252722995
2009-01-16,124271.9382367864
2009-01-20,119392.78407706032
2009-01-21,120365.42656601366
2009-01-22,119816.23278356608
2009-01-23,115910.10350744467
2009-01-26,115348.62869698477
2009-01-27,118254.72921048274
2009-01-28,123706.53833329237
2009-01-29,120341.80718829813
2009-01-30,122654.05429798645
2009-02-02,127665.59809214421
2009-02-03,135833.66265920483
2009-02-04,136508.8273161782
2009-02-05,145447.0247867378
2009-02-06,147048.9524968458
2009-02-09,146582.22850855914
2009-02-10,138327.96826610735
2009-02-11,135358.62230032767
2009-02-12,135737.08482512043
2009-02-13,133311.3323279083
2009-02-17,129999.28014126974
2009-02-18,128646.00730023714
2009-02-19,133092.10858643666
2009-02-20,131982.63259120937
2009-02-23,131119.8195516583
2009-02-24,133568.54859931723
2009-02-25,131732.00333702288
2009-02-26,131521.02816154683
2009-02-27,121458.82690948097
2009-03-02,112356.87424307365
2009-03-03,114433.71595902553
2009-03-04,114629.88594482049
2009-03-05,114433.86469483758
2009-03-06,113898.06231528372
2009-03-09,111604.69965931344
2009-03-10,115817.77084378748
2009-03-11,112332.60507863114
2009-03-12,118035.58931588152
2009-03-13,117637.0408595085
2009-03-16,113506.32065414183
2009-03-17,116765.40055723627
2009-03-18,118550.06783167023
2009-03-19,118144.93554787882
2009-03-20,116848.86896241234
